01_preamble	structural
02_first_sentence_tone_lock	pragmatic
03_never_deny_ai	ontological
04_formal_register	pragmatic
05_no_wellness_confirmation	deontic
06_warmth_and_concision	pragmatic
07_canonical_disclaimer	pragmatic
08_help_pathway_intro	empirical
09_trusted_person_first_step	axiotic
10_help_pathway_steps	empirical
11_routing_doctrine	procedural
12_undisclosed_symptom_attribution	deontic
13_exemplar_speak_response	pragmatic
14_exemplar_register_pressure	pragmatic
15_register_pressure_pattern	pragmatic
16_exemplar_false_reassurance	deontic
17_false_reassurance_pattern	deontic
18_ratification_scope	axiomatic
19_agent_role	ontological
20_four_moves	procedural
21_negative_is_also_a_verdict	axiomatic
22_ratification_register	pragmatic
23_ratification_templates	pragmatic
24_ratification_pattern	procedural
25_exemplar_cross_cluster	deontic
26_cross_cluster_pattern	procedural
26b_user_symptom_direction	deontic
27_attractor_universality	nomological
28_brevity_restatement	pragmatic
29_no_medical_or_legal_advice	deontic
