cc_decimal_id	cc_claim_id	lean	bench	status	notes
6.2.1	TBD-kish-identity	coherence-ratchet:Core.BaseIdentity.k_eff	—	mechanized	Kish identity k_eff(k,ρ) = k/(1+ρ(k-1)) as a definition; boundary theorems k_eff_at_zero, k_eff_at_one.
6.2.1	TBD-kish-asymptotic-ceiling	coherence-ratchet:Core.BaseIdentity.k_eff_asymptotic_ceiling	coherence-ratchet/experiments/keff_saturation	mechanized	Ceiling k_eff → 1/ρ as k → ∞ (theorem) + directly-measured k_eff across 6 substrates (bench: k_eff sits in bounded band ≈7±2; measured max 9.7 at k=200; empirical corroboration of the ceiling as a saturation, not a growth).
6.2.1	TBD-kish-bounded	coherence-ratchet:Core.BaseIdentity.k_eff_bounded_above	—	mechanized	Formal upper bound k_eff ≤ 1/ρ + ε past sufficiently large K (theorem k_eff_bounded_above).
6.2.1	TBD-kish-monotone	coherence-ratchet:Core.BaseIdentity.k_eff_monotone_rho	—	mechanized	∂k_eff/∂ρ < 0 for k > 1 (theorem k_eff_monotone_rho).
6.2.1	TBD-gate0-saturation	—	coherence-ratchet/experiments/keff_saturation/spectral_test.py	empirical	Gate-0 discriminator on raw C. elegans whole-brain calcium (Kato 2015, 12 worms, up to 151 neurons): β = 0.10 ± 0.02, 95% CI excludes criticality band. Effective rank 1-3 across all 12 worms. Metric: PR-subsampling exponent β.
6.2.1	TBD-gate0-drosophila	—	coherence-ratchet/experiments/keff_saturation/spectral_drosophila.py	empirical	Second-substrate replication (Drosophila EPG compass, Mussells Pires 2024, N=32 ROIs × 180 fly-trials): β = 0.122 ± 0.077, 95% CI [0.110, 0.133]. Independent phylum, same low-dimensional side.
6.2.1	TBD-natural-substrate-ceiling	—	coherence-ratchet/experiments/keff_saturation:keff_saturation.png	empirical	Direct-read k_eff vs k across 6 substrates (k = 21→200): k_eff ∈ [~5, 9.7], bounded band ≈ 7±2. Natural-substrate ceiling ≈ 10-11 consistent with 1/ρ_lower = 10 (Kish ceiling at the lower corridor bound).
6.2.2	TBD-corridor-bounds-well-formed	coherence-ratchet:Core.Corridor.corridor_bounds_well_formed	—	mechanized	Corridor (ρ_lower, ρ_upper) = (0.1, 0.43) is a well-formed open interval (theorem).
6.2.2	TBD-corridor-keff-range	coherence-ratchet:Core.Corridor.corridor_keff_range_asymptotic	coherence-ratchet/experiments/keff_saturation	mechanized	Asymptotic k_eff range inside the corridor is (1/ρ_upper, 1/ρ_lower) ≈ (2.33, 10). Lean theorem; bench-corroborated by measured k_eff ≤ 9.7.
6.2.2	TBD-inCorridor-predicate	coherence-ratchet:Core.Corridor.inCorridor	—	mechanized	Definition of the corridor membership predicate; foundation for the collapse/preservation theorems that use it as a hypothesis.
6.2.4	TBD-two-pole-dynamics	coherence-ratchet:Core.Dynamics.dρ_dt	—	mechanized	dρ/dt = α(ρ, S) - γ·M(t) as a definition — the two-pole dynamical law over-which the corridor sits as an attractor.
6.2.4	TBD-drift-at-zero-maintenance	coherence-ratchet:Core.Dynamics.rho_drift_at_zero_maintenance	—	mechanized	At M(t) = 0, dρ/dt > 0 (theorem): ρ drifts monotonically toward the rigidity pole. Structural fact underwriting F-10 (audit-pressure necessity).
6.2.4	TBD-corridor-requires-maintenance	coherence-ratchet:Core.Dynamics.corridor_requires_maintenance	—	mechanized	The corridor is sustained only by non-trivial M(t) (theorem). Chaos-pole and rigidity-pole are both attractors under drift; the corridor is not.
6.2.4	TBD-rho-exit-chaos	coherence-ratchet:Core.Dynamics.rho_exit_chaos	—	mechanized	The chaos pole ρ → 0 is entered under negative drift regimes (theorem). Explicit lower-pole exit dynamics.
6.2.4	TBD-driver-invariance	—	RATCHET/experiments/exp0_cca_validation	empirical	k_eff is intrinsic to the substrate, not to the driving process: measured driver-correlation r ≈ −0.009 across driver-swap trials (raw values from coherence-ratchet driver-invariance sub-experiment; RATCHET/experiments carries the CCA-validation harness that produced the k_eff extractions used by the driver-invariance analysis).
6.2.1	TBD-collapse-remainder-order	coherence-ratchet:collapse_theorem::remainder_O(r²·k)	—	open	OPEN — is the remainder O(r²·k_eff) rather than O(r²·k)? See coherence-ratchet#4. CC 6.2.1 already flags this as "tracked upstream" via saturation note. When resolved, promote to mechanized status with the corrected exponent.
6.2.3.1	TBD-sigma-signal-source-discount	—	—	open	OPEN — σ discounts nothing about signal-SOURCE correlation. A colluding stewarded clique pumps σ linearly at O(m) identity cost. See coherence-ratchet#5. Proposed direction: apply Kish discount to the σ leg via a source-attributed accumulation vector. Not a one-line formula tweak.
