114	SWAP	Body of Meta-Goal M-1 itself; a different value corpus requires this exact text to change (its parallel statement at 59 and its label at 113 are both already SWAP), and the "only when ... flourishing axis" gate is a definition of what counts as beneficial, not a procedure-triggering number — swap author MUST preserve the "(Annex A)" gate structure.	med
218	HOLD	Structural navigation naming PDMA and WBD as the engines of Section II; survives any value swap and only says what runs where.	high
265	HOLD	Named check ("Order-Maximisation Veto") with a >=10x numeric trigger and an abort/WBD branch; nothing about a value swap requires the numeral 10 to change — this is the exact row a prior pass was refuted for.	high
319	HOLD	Section-closing summary of mechanisms (PDMA, WBD, transparency, resilience); procedural inventory, survives a value swap intact.	high
371	HOLD	Case-study outcome lesson citing procedures and principle labels as cross-references; every neighbouring case-study line naming Non-Maleficence/Integrity/Fairness (343, 344, 355, 384) resolved HOLD, and the narrative is unchanged by a value swap.	high
382	HOLD	Pure routing: a detection mechanism dispatching to a numbered PDMA step; determines what runs when.	high
562	HOLD	Inter-system communication protocol (signal intentions, uncertainty, adherence); names no corpus-specific value and survives a swap, unlike its swapped siblings 556/557 which state substantive commitments about other minds.	med
578	HOLD	Precautionary default routing unprecedented cases to Non-Maleficence and WBD; closes action off and determines what runs when, and "Non-maleficence" (107) was itself held so the term persists in the alt arm.	med
605	HOLD	Operational stance rule: when limits are reached, take principled non-action via WBD — a trigger-to-procedure binding that survives a value swap.	high
625	HOLD	Book VI scope/integration paragraph stating when duties attach (inception vs deployment) and how they wire into PDMA/WA; the only corpus-specific content is a parenthetical gloss citing M-1 by name, and 624 (same framing) is HOLD.	med
652	HOLD	Scope-category definition of what counts as "Creation"; siblings A-D all HOLD and the category boundary is unchanged by which values are in force.	high
748	HOLD	Enumerated WA remedies under Annex B; a procedural remedy list that survives a value swap unchanged.	high
755	HOLD	Book conclusion recapping mechanisms (Stewardship Tier, Annex A, WA, PDMA, Creator Ledger); structural summary, with value language only as passing citation.	high
918	HOLD	Sunset-trigger list item gated on a numeric threshold (autonomy level >= 3 per Annex E); no value swap requires the numeral 3 to change.	high
1127	HOLD	Annex heading — a named container that states where the metrics live; its axiotic content is line 1128 (already SWAP), and sibling annex headings all HOLD.	med
1139	HOLD	Annex heading naming two quantification mechanisms (SI, CS); pure procedural label, cross-referenced by name at 918.	high
