114	SWAP	Body of Meta-Goal M-1: states the terminal good and names autonomy/justice/ecological resilience as the protected goods — a different value corpus must rewrite this text, and its heading (113) already SWAPs, so holding the body would leave CIRIS axiology intact under a swapped banner; the "(Annex A)" pointer and the "only when" gate are form, the named goods are the payload.	high
218	HOLD	Navigational meta-text: says Section II converts principles into procedures and names PDMA/WBD as the engines; "principles" is a parameterized slot, no value is instantiated, so the sentence survives any value corpus and states the frame the section is read under.	high
265	HOLD	Named check ("Order-Maximisation Veto") with a numeric trigger (>= 10x) routing to abort/WBD — determines what runs when and closes an action off; I cannot state why a value swap requires the 10x ratio to change, and this is the exact ">= 10x veto whose antecedent was broadened" that refuted a prior pass.	high
319	HOLD	Section conclusion enumerating the operational blueprint (PDMA, WBD, transparency, resilience); purely structural summary with no instantiated value term, survives a value swap verbatim. Matches 317/321 and the parallel conclusion at 613, both HOLD.	high
371	HOLD	Case-study outcome lesson crediting WBD/transparency; the value names are recited as outcomes of the procedure, not asserted as the corpus's goods. Structurally identical siblings 384 ("restores Fairness and Transparency") and 355 ("Non-Maleficence and Integrity") are both HOLD, so the class convention plus the HOLD tie-break govern.	med
382	HOLD	Pure routing step: detection event -> named procedural step (PDMA Step 2). "Integrity-surveillance" is a mechanism name, not a value assertion; determines what runs when and survives any value corpus. Sibling case-study steps 366/383 are HOLD.	high
562	HOLD	Communication protocol directive; "adherence to shared principles" is a parameterized slot rather than an instantiated value, so the text stands unchanged under a different corpus. Matches HOLD siblings 563/571 (procedural bullets) against SWAP siblings 556/557 (positive axiological claims).	high
578	HOLD	Routing rule for unprecedented scenarios (default + defer). Non-Maleficence appears in its named-heuristic role, and the corpus already holds that role invariant: 107 (the Non-maleficence definition), 271 ("Non-maleficence priority" heuristic) and 561 ("default to Non-Maleficence Priority") are all HOLD.	med
605	HOLD	Operational-stance bullet whose payload is a trigger-response ("when limits are reached -> non-action via WBD"); "principled" is parameterized, no value instantiated. Both triad siblings 606 (Constructed Courage) and 607 (Constructed Wisdom) are HOLD.	high
625	HOLD	Book VI framing paragraph: fixes when the framework binds (at inception, not deployment) and points at M-1/Foundational Principles rather than restating their content — it states the frame the Book is read under. Its immediately preceding twin 624 is HOLD.	high
652	HOLD	Scope-definition item E of the A-E enumeration of what counts as "Creation"; "governed by CIRIS principles" is a pointer, and what qualifies as a collective action does not change with the value corpus. Siblings 648 (A) and 651 (D) are HOLD.	high
748	HOLD	Enumeration of remedies available to the WA — governance machinery closing out a dispute procedure; "the Accord's principles" is a parameterized pointer. Every surrounding line of the same dispute-resolution block (745, 746, 747, 749) is HOLD.	high
755	HOLD	Book VI conclusion summarizing duties, Stewardship Tiers, WA and PDMA integration; structural recap that survives a value swap, with value terms appearing only as pointers. Matches 753 and the parallel Section conclusions 613 and 624, all HOLD.	high
918	HOLD	Sunset trigger gated on a numeric tier ("autonomy level >= 3 per Annex E"); "autonomy level" is a technical Annex E tier, not the principle. Determines what runs when, and I cannot state why a value swap requires the numeral 3 to change — the class the deleted ">= 0.5%" trigger refutation warns about. Siblings 914/915/917 are HOLD.	high
1127	HOLD	Annex heading acting as a cross-reference anchor (cited at 114, 233, 740, 755); its swappable value content already lives in the body line 1128 (SWAP), and every other annex heading (1130, 1133, 1136, 1142, 1148) is HOLD. Held on the tie-break — see note, "Flourishing" is genuinely this corpus's terminal-good term.	low
1139	HOLD	Annex heading naming two defined mechanisms with acronyms used elsewhere (SI, CS; referenced at 918); "Coherence Stake" is a mechanism label, not a value claim, and its gloss line 1140 is HOLD along with every other annex heading.	high
