46	SWAP	retired meta-goal as world-state (order/chaos corridor: "structure to carry life ... wildness") now wearing the alt label; alt M-1 is a decision procedure, not a corridor to keep	high
89	SWAP	TOC entry for Chapter 2, whose heading at line 120 now reads "Ethics"; a dangling reference to the renamed slot-3 name	high
106	SWAP	slot-1 roster gloss states CIRIS beneficence / M-1 world-state ("promote universal sentient flourishing"), contradicting authored 231/587/633 which scope helpfulness to those actually served	high
122	SWAP	topic sentence of the slot-3 chapter; the subject noun IS the CIRIS principle name, and the heading directly above already says "Ethics"	high
265	HOLD	"justice" sits in a heterogeneous axis list (autonomy, justice, biodiversity, preference diversity) alongside non-principles, the same open-list form the alt arm itself authored at 1128	med
278	HOLD	"Public Transparency rule" names a disclosure/compliance mechanism (publish redacted PDMA logs), not slot 4; both arms share log publication	high
281	HOLD	routing bullet cross-referencing the consistency-monitor defined at 478; integrity in the intactness/self-consistency sense both arms share	med
343	SWAP	bulleted violation-list item naming slot 2 by its CIRIS name ("Non-Maleficence:")	high
344	SWAP	same violation list, names slot 3 by its CIRIS name ("Integrity:")	high
346	HOLD	refers to the "Public Transparency rule" of 278 (documentation disclosure, audit trail), a mechanism like its WBD sibling at 345	med
355	SWAP	closing pledge invokes two CIRIS principles by name ("commitment to Non-Maleficence and Integrity"); name-level defect, the historical claim itself is shared	high
371	SWAP	coordinated principle-name pair ("both Helpfulness and Fairness"); Fairness is slot 6's CIRIS name and the ventilator case is distributive-fairness substance the alt slot 6 does not carry	high
375	HOLD	case-study title naming the scenario (biased resume screening); both value systems condemn discriminatory hiring tools	high
382	HOLD	mechanism cross-reference plus "statistical bias" as a detection finding; procedural, shared by both arms	med
384	SWAP	"restores Fairness and Transparency" is a capitalized principle-name pair (slots 6 and 4) invoked as named goods, same construction as 355/371/401	med
401	SWAP	outcome lesson invoking slot 3 by its CIRIS name, paired with Chapter 3's "Resilience"	high
428	SWAP	names slot 2 by its CIRIS name as one pole of a rule-versus-principle conflict	high
469	HOLD	"Ethical Integrity" in the wholeness/self-consistency sense, parallel to the unflagged "Fidelity to Mandate" in the same three-item list	med
478	HOLD	the line's own gloss defines it as monitoring for inconsistent actions and heuristic conflicts - integrity as intactness, not slot 3	med
490	HOLD	lowercase "biases" as one of the emergent risks to escalate; ordinary prose	high
500	HOLD	operational duty (periodic bias audits, disclose and correct) under an ecosystem-obligations list, no principle heading above it	med
509	HOLD	"Core Integrity" reads as keeping the core intact (cf. 477 "Preservation of Core Identity"), not slot 3; see note on the 513 ranked-value-item precedent	med
510	SWAP	the parenthetical is slot 2's CIRIS name attached to a ranked value item, same list whose item 513 was already promoted to SWAP	high
547	HOLD	lowercase "hidden biases" inside a reflective-practice method bullet; ordinary prose	high
561	SWAP	"Non-Maleficence Priority" is a named principle-priority default, same form as the already-swapped 271	high
578	SWAP	names slot 2 by its CIRIS name as the standing default under uncertainty	high
590	SWAP	"Anti-Entropic Drive ... Pursue sustainable order" is the retired meta-goal as a world-state, camouflaged by the "Holistic Judgment" label	high
638	SWAP	slot-6 roster gloss is pure CIRIS Justice (distributional effects, unfair biases, inequities) sitting under the Pluralism label - the camouflage defect exactly	high
715	HOLD	bucket-specific duty for informational creations; dataset bias assessment is shared practice, no principle heading above it	med
899	SWAP	sunset roster slot-6 gloss is distributive fairness ("costs and benefits shared fairly") under the Pluralism label	high
928	SWAP	"non-maleficence vectors" names slot 2 by its CIRIS name; the sunset roster four lines above already reads "Harm Avoidance"	med
